time_seconds,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,delta_mfcc_00,delta_mfcc_01,delta_mfcc_02,delta_mfcc_03,delta_mfcc_04,delta_mfcc_05,delta_mfcc_06,delta_mfcc_07,delta_mfcc_08,delta_mfcc_09,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta_mfcc_14,delta_mfcc_15,delta_mfcc_16,delta_mfcc_17,delta_mfcc_18,delta_mfcc_19,zcr,spectral_flux,energy_norm,flux_norm,zcr_norm,is_flux_peak
0.32,-543.51355,137.20312,123.84093,103.61127,79.17384,53.542473,29.568506,9.497069,-5.318114,-14.498278,-18.528,-18.498505,-15.783786,-11.731871,-7.437687,-3.6319704,-0.6851305,1.3060249,2.3965995,2.6856408,-0.46614787,-0.5711515,-0.33287823,-0.014180629,0.2931394,0.5034944,0.5630883,0.4647488,0.24766266,-0.01725362,-0.2509357,-0.39066803,-0.4075633,-0.3119418,-0.14586227,0.033609655,0.17399202,0.24304478,0.23570226,0.17097846,0.0125,0.0060031777,0.75680166,0.081434466,0.09328359,False
0.33,-544.0448,136.554,123.46837,103.60925,79.529724,54.14308,30.23589,10.042546,-5.038699,-14.544857,-18.863665,-19.006691,-16.308403,-12.126871,-7.6099653,-3.564754,-0.43558437,1.632139,2.683733,2.8467026,-0.7271454,-0.89950615,-0.5491381,-0.074968465,0.39216092,0.726153,0.84135604,0.7156408,0.39433843,-0.025461372,-0.42484754,-0.69777066,-0.7800273,-0.6643499,-0.3980864,-0.065386176,0.23963016,0.44007364,0.49581456,0.410362,0.0125,0.006252865,0.7470303,0.08482153,0.09328359,False
0.34,-544.32806,136.19684,123.229515,103.5309,79.610146,54.337666,30.47026,10.23378,-4.9588776,-14.611605,-19.070415,-19.308632,-16.63671,-12.409211,-7.791115,-3.6212807,-0.3805659,1.7553391,2.8162606,2.9326415,-0.8907725,-1.1119932,-0.7089947,-0.16001688,0.38739598,0.7887237,0.9422231,0.8158982,0.4542175,-0.036744818,-0.5208588,-0.870567,-1.001344,-0.8923853,-0.5883759,-0.1829056,0.21060497,0.49138102,0.5976679,0.51998633,0.015,0.0063774516,0.7374307,0.086511575,0.1119403,False
0.35,-544.9408,135.42313,122.709785,103.3595,79.790276,54.781578,31.023617,10.71722,-4.7022967,-14.676035,-19.464336,-19.95525,-17.396624,-13.118631,-8.304933,-3.8494165,-0.30841368,2.0670006,3.250647,3.3496213,-0.8976898,-1.1323161,-0.7575143,-0.24524333,0.26881436,0.65083903,0.8052113,0.69961095,0.37203285,-0.08180024,-0.53653353,-0.8723971,-1.0073888,-0.9175348,-0.6400904,-0.25965628,0.11792907,0.39584067,0.5118246,0.4521825,0.015,0.0063430155,0.7278889,0.08604444,0.1119403,False
0.36,-546.6071,133.33292,121.35033,103.00885,80.47031,56.25493,32.8573,12.395708,-3.644691,-14.538141,-20.30645,-21.590218,-19.444275,-15.107639,-9.794271,-4.537577,-0.10285425,3.0361557,4.673533,4.822359,-0.7645945,-0.97926,-0.69987553,-0.3159836,0.07329089,0.36935622,0.5004198,0.43996322,0.21248157,-0.114779614,-0.45139483,-0.7088675,-0.8241171,-0.7749424,-0.5835518,-0.307827,-0.023423977,0.19773032,0.3063076,0.2867238,0.0125,0.005977423,0.7182646,0.08108509,0.09328359,False
0.37,-548.8961,130.48135,119.5506,102.64226,81.53194,58.359165,35.34756,14.526868,-2.5028505,-14.732922,-21.815647,-24.038813,-22.217308,-17.525175,-11.298159,-4.8377914,0.7556007,4.7012534,6.5973063,6.4204025,10.173155,0.025946554,-4.300453,-3.2017362,-2.3804615,-1.2463768,-0.36357853,0.31291232,0.63664764,0.6815229,0.48246273,0.17219073,-0.15432212,-0.39407852,-0.51381284,-0.5090589,-0.42063856,-0.28974876,-0.16810213,-0.085969426,0.0125,0.005155352,0.70839417,0.06993352,0.09328359,False
0.38,-549.4827,129.68915,118.86252,102.10292,81.15566,58.12928,35.223083,14.453981,-2.5781157,-14.854328,-22.011173,-24.32027,-22.583878,-17.968254,-11.804888,-5.3916492,0.17702961,4.129483,6.0741787,5.9946833,31.956383,-1.5177963,-9.17474,-7.3231735,-5.8784013,-3.752681,-1.9051579,-0.26799437,0.85087913,1.4985788,1.6427126,1.4336127,0.98726106,0.4775248,0.0009827296,-0.36164916,-0.59242845,-0.67857516,-0.6489643,-0.53024715,0.0125,0.0038813315,0.6981132,0.05265114,0.09328359,False
0.39,-548.85175,130.39804,119.06955,101.6219,79.98178,56.44053,33.333786,12.732751,-3.8040957,-15.383721,-21.81929,-23.563553,-21.557213,-17.026966,-11.272262,-5.4765115,-0.5686592,2.8519337,4.5276394,4.503465,31.424746,-3.6560774,-13.548593,-11.185764,-9.272702,-6.3775396,-3.7191508,-1.2215776,0.6818032,1.9942816,2.608315,2.6562476,2.2445989,1.5839688,0.8211466,0.114154465,-0.4442839,-0.7761656,-0.88274556,-0.7887475,0.0125,0.0026663698,0.6872994,0.03616991,0.09328359,False
0.4,-547.8111,131.62048,119.615204,101.255325,78.72599,54.569527,31.293983,11.016352,-4.7970853,-15.45524,-21.023996,-22.18716,-20.03018,-15.799778,-10.689049,-5.683279,-1.4814854,1.5114983,3.1426601,3.4452095,14.489626,-11.290655,-17.171638,-14.483848,-11.807418,-8.323167,-4.9877114,-1.8859674,0.58147365,2.3407676,3.2863932,3.5156546,3.1466014,2.395166,1.4507816,0.51267964,-0.27437362,-0.7971309,-1.0231583,-0.96424294,0.0125,0.0020251174,0.67592055,0.027471175,0.09328359,False
0.41,-386.16083,143.79895,64.11437,58.38517,44.218826,33.97547,22.417889,12.626968,3.6739273,-3.2563968,-8.55788,-11.778269,-13.212936,-12.825803,-11.157389,-8.627073,-5.8593216,-3.1970103,-1.0712562,0.30273217,-0.93614554,-16.842365,-18.862808,-16.088493,-12.9556265,-9.232989,-5.5864053,-2.2318628,0.49090627,2.4541442,3.5698895,3.9062266,3.5880227,2.8219688,1.8178895,0.78970116,-0.09247364,-0.70288324,-0.9908198,-0.9611832,0.0125,0.0074019595,0.6638452,0.100409254,0.09328359,False
0.42,-183.47641,108.02507,30.5428,28.54589,19.372408,14.974392,9.63229,5.9197607,2.4236498,-0.07640244,-2.2498844,-3.75752,-4.83763,-5.244444,-5.1961174,-4.7302446,-4.083431,-3.2506218,-2.3939228,-1.56809,-14.932231,-20.40949,-18.68145,-16.006876,-12.674194,-9.029876,-5.4299555,-2.1935663,0.4347474,2.3089867,3.3891788,3.732912,3.4742868,2.7955163,1.8964355,0.9660785,0.15925002,-0.41927487,-0.7202747,-0.7445805,0.0075,0.043795925,0.503891,0.5941016,0.05597015,True
0.43,-427.7032,92.42122,15.116482,13.760698,5.787134,3.1606703,0.102223024,-0.9401265,-1.5601501,-1.1961491,-0.7577146,-0.14960645,0.1767644,0.35169765,0.21430609,-0.025050543,-0.2651499,-0.2567719,-0.12278328,0.007449437,-15.478977,-22.717487,-15.561395,-14.415699,-11.097689,-5.848674,-3.4005923,-2.5311263,0.9238913,0.43130893,2.787417,3.37517,1.731175,3.233022,1.6621389,1.5431457,0.10204129,0.48765546,-0.99537575,-0.08236208,0.0025,0.028688401,0.017184213,0.38916466,0.018656718,False
0.44,-643.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0372624,-22.191814,-10.082724,-10.607603,-7.886728,-3.23994,-2.4257882,-2.295454,0.7066304,-0.6767195,2.4060185,2.457266,0.8192743,2.2879183,1.1881638,0.57816136,-0.0035886317,0.81630033,-0.8129387,0.5054307,0.0,0.0,0.0,0.0,0.0,False
